id,section,module,competency_domain,skill_area,measurement_element,question,response_options,relevance,recommended_core,cognitively_tested,source
DSO7_install_app_store,1 Foundational Skills,Device & Software Operations,Software operations,Application management,Installing an app from the app store,Have you ever installed a new app on your phone or computer from the app store — like the Google Play Store or Apple App Store?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team
DSO8_install_apk,1 Foundational Skills,Device & Software Operations,Software operations,Application management,Installing from a file or link,Have you ever put an app on your phone by using a file or link – like an Android Application Package (APK) or iOS app?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team
DSO9_delete_app,1 Foundational Skills,Device & Software Operations,Software operations,Application management,Deleting an app,Have you ever deleted / uninstalled an app on a mobile phone?,1. Yes; 2. No,,TRUE,FALSE,Developed by UCT metrics team
DSO10_software_update,1 Foundational Skills,Device & Software Operations,Software operations,Software updates and maintenance,Software updates,Have you ever updated your operating system or any software on your phone or computer?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team
DSO11_restart_fix,1 Foundational Skills,Device & Software Operations,Software operations,Software updates and maintenance,Troubleshooting basic issues,Have you ever restarted your phone or deleted an app to fix a problem?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team
DSO12_update_crashed,1 Foundational Skills,Device & Software Operations,Software operations,Software updates and maintenance,Security and bug fixes,Have you ever updated an app because it stopped working or crashed?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team
DSO13_brightness,1 Foundational Skills,Device & Software Operations,Software operations,Device and system settings,Screen brightness,Have you ever increased / decreased the screen brightness on a mobile phone or computer?,1. Yes; 2. No,,TRUE,FALSE,Developed by UCT metrics team
DSO14_gps,1 Foundational Skills,Device & Software Operations,Software operations,Device and system settings,Location services,Have you ever turned location services (GPS) on or off on a mobile phone or computer?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team
DSO15_language,1 Foundational Skills,Device & Software Operations,Software operations,Device and system settings,Changing language,Have you ever changed the language on a mobile phone?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team
DSO16_screenshot,1 Foundational Skills,Device & Software Operations,Software operations,Device and system settings,Taking a screenshot,"Have you ever taken a screenshot on a mobile phone, computer, or tablet?",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team
DSO17_wifi,1 Foundational Skills,Device & Software Operations,Software operations,Connectivity and network management,Connecting to Wi-Fi,Have you ever connected to a Wi-Fi network or hotspot from a mobile phone?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; Bihar Survey
DSO18_hotspot,1 Foundational Skills,Device & Software Operations,Software operations,Connectivity and network management,Creating a hotspot,Have you ever created a hotspot on a mobile phone?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; Bihar Survey
DA1_own_phone,2 Device Access,Device Access,Device Access,Device ownership,Mobile phone ownership,Do you own a mobile phone?,1. Yes; 2. No,,TRUE,TRUE,DHS-8 MICS-6 After Access 2022; cognitively tested
DA1b_own_phone_own,2 Device Access,Device Access,Device Access,Device ownership,Own mobile phone,Do you have your own mobile phone?,1. Yes; 2. No,,TRUE,TRUE,DHS-8 MICS-6 After Access 2022; Table 82 item 102
DA2_use_shared_phone,2 Device Access,Device Access,Device Access,Device ownership,Access to shared mobile phone,"[If no to DA1] You said you do not own a mobile phone, but is there a mobile phone that you use?",1. Yes; 2. No,DA1_own_phone == 2,TRUE,TRUE,Adapted from Gallup and GSMA Consumer Survey 2022; cognitively tested
DA3_own_computer,2 Device Access,Device Access,Device Access,Device ownership,Computer ownership,Do you own a computer or tablet?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team
DA4_phone_type,2 Device Access,Device Access,Device Access,Device type,Phone type,What type of mobile phone do you have?,1. Smartphone; 2. Feature phone; 3. Basic phone,,TRUE,TRUE,Developed by UCT metrics team; cognitively tested
DA5_phone_battery,2 Device Access,Device Access,Device Access,Phone condition,Phone battery condition,Can the mobile phone remain on without being connected to the charger?,1. Yes; 2. No,,TRUE,FALSE,Developed by UCT metrics team; Kilkari impact evaluation
DA6_phone_screen,2 Device Access,Device Access,Device Access,Phone condition,Phone screen condition,Is the screen cracked so severely that content cannot be read?,1. Yes the screen is cracked; 2. No the screen is intact,,TRUE,FALSE,Developed by UCT metrics team
DA7_phone_keys,2 Device Access,Device Access,Device Access,Phone condition,Phone keys or touch screen,"Does the touch screen work, and/or do all keys work?",1. Yes screen/keys work; 2. No screen/keys do not work,,TRUE,FALSE,Developed by UCT metrics team
DA8_phone_reach,2 Device Access,Device Access,Device Access,Phone periodicity,Phone within reach yesterday,"When was the mobile phone within your reach yesterday? In the morning, in the afternoon, in the evening, or at night?",1. The whole day; 2. In the morning (6am-12pm); 3. In the afternoon (12pm-6pm); 4. In the evening (6pm-10pm); 5. At night (10pm-6am); 6. Not at all,,TRUE,TRUE,Developed by UCT metrics team; cognitively tested
DA9_internet_ever,2 Device Access,Device Access,Device Access,Internet use,Internet use ever,"Have you ever used the internet? (e.g. YouTube, WhatsApp, Google, Facebook, Instagram, etc.)",1. Yes; 2. No,,TRUE,TRUE,Adapted from DHS-8 MICS-7 GSMA Consumer Survey 2022 After Access 2022; cognitively tested
DA10_internet_last,2 Device Access,Device Access,Device Access,Internet use,When last used internet,When was the last time you used the internet?,1. Less than 24 hours ago; 2. 2-7 days ago; 3. 8-14 days ago; 4. 15-31 days ago; 5. More than 1 month but less than 3 months ago; 6. More than 3 months ago but within last 1 year; 7. More than 1 year ago,DA9_internet_ever == 1,TRUE,TRUE,Developed by UCT metrics team; cognitively tested
DA11_agency_decision,2 Device Access,Device Access,Device Access,Digital agency,Decision-making on phone use,Who makes decisions about who can use the phone and when they can use it?,Self/ Spouse or Fiancé/ Father/ Mother/ Brother/ Sister/ Son/ Daughter/ Mother-in-law/ Father-in-law/ Other male relative/ Other female relative/ Friend/ Respondent and Spouse/ Respondent and other person/ Other (Specify),,TRUE,FALSE,Developed by UCT metrics team; Table 82 minimum set
DU_HEA1_call_health_worker,3 Device Use,Device Use,Device Use - Health,Health use cases,Calling a health worker,"Have you ever used a mobile phone to make or receive a call from a doctor, nurse or other health worker about your health or someone else's health?",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; Bihar Survey
DU_HEA2_message_health_worker,3 Device Use,Device Use,Device Use - Health,Health use cases,Messaging a health worker,"Have you ever used a mobile phone to send a message on WhatsApp, Facebook Messenger, Telegram, etc. to a health worker about your health or someone else's health?",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; Bihar Survey
DU_HEA3_search_health,3 Device Use,Device Use,Device Use - Health,Health use cases,Searching for health information,"Have you ever searched the internet, such as Google or YouTube, to get health information? For example, what to do when someone is sick, or what foods are healthy to eat?",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; Bihar Survey
DU_HEA4_apply_insurance,3 Device Use,Device Use,Device Use - Health,Health use cases,Applying for insurance,Have you ever used a mobile phone to apply for {name of government health insurance} or other health insurance?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; implemented in the Bihar Survey
DU_HEA5_submit_insurance,3 Device Use,Device Use,Device Use - Health,Health use cases,Submitting an insurance claim,Have you ever used a mobile phone to submit health insurance claims?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; implemented in the Bihar Survey
DU_INC1_sell_online,3 Device Use,Device Use,Device Use - Income,Income generation use cases,Selling goods online,"Have you ever used a mobile phone to sell goods online, such as on Facebook Marketplace, WhatsApp, Amazon, or similar online apps?",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; Bihar Survey
DU_INC2_promote_goods,3 Device Use,Device Use,Device Use - Income,Income generation use cases,Promoting goods online,Have you ever used a mobile phone to promote goods that you sell to others?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; Bihar Survey
DU_INC3_communicate_customers,3 Device Use,Device Use,Device Use - Income,Income use cases,Communicating with customers,Have you ever used a mobile phone to communicate with customers related to your work?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; implemented in the Bihar Survey
DU_LEA1_online_course,3 Device Use,Device Use,Device Use - Learning,Online learning use cases,Taking online courses,Have you ever taken an online course (a class through the internet)?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; Bihar Survey
DU_LEA2_tutorials,3 Device Use,Device Use,Device Use - Learning,Online learning use cases,Participating in tutorials or webinars,"Have you ever learned how to do something new on the internet? This could include watching video tutorials, webinars, or using learning apps.",1. Yes; 2. No,,FALSE,TRUE,Developed by UCT metrics team; cognitively tested; Bihar Survey
DU_LEA3_learn_sales,3 Device Use,Device Use,Device Use - Learning,Learning use cases,Learning sales or commerce,"Have you ever used a mobile phone to learn how to do something you can sell? For example, stitching clothes or making snacks.",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; implemented in the Bihar Survey
DU_LEA4_expand_business,3 Device Use,Device Use,Device Use - Learning,Learning use cases,Expanding business expertise,"Have you ever used a mobile phone to learn how to do something new for your business? This could include new hairstyles, new designs, etc.",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; implemented in the Bihar Survey
DU_GOV1_govt_info,3 Device Use,Device Use,Device Use - Public Services,Digital public services use cases,Looking up information about government services,Have you ever used a mobile phone to get information about government services and programmes from a government website?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; Bihar Survey
DU_GOV2_govt_apply,3 Device Use,Device Use,Device Use - Public Services,Digital public services use cases,Applying to government schemes,Have you ever used a mobile phone to apply for a government scheme?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; Bihar Survey
DU_GOV3_govt_appointment,3 Device Use,Device Use,Device Use - Public Services,Public Services use cases,Making appointments for government programs,Have you ever made any appointment via a website or app for a government service (e.g. appointment at an {insert name of government service centers} or government hospital)?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; implemented in the Bihar Survey
DU_GOV4_digi_locker,3 Device Use,Device Use,Device Use - Public Services,Public Services use cases,Digi Locker (India specific),Do you have a Digi Locker account?,1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; implemented in the Bihar Survey
DU_GOV5_govt_helpline,3 Device Use,Device Use,Device Use - Public Services,Public Services use cases,Contacting the government helpline,"Have you ever used a mobile phone to call a free government helpline? For example, for information about government services.",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; implemented in the Bihar Survey
DU_AGR1_farming_learn,3 Device Use,Device Use,Device Use - Agriculture,Agricultural use cases,Learning farming techniques,"Have you ever used a mobile phone to learn new farming techniques? For example, how to grow chiles, mushrooms, tomatoes, or other crops.",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; Bihar Survey
DU_AGR2_sell_agri,3 Device Use,Device Use,Device Use - Agriculture,Agricultural use cases,Selling agricultural products online,"Have you ever sold any agriculture products online? For example: vegetables, grains, milk, eggs, livestock, or prepared food made from these.",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; Bihar Survey
DU_AGR3_sell_agri_followup,3 Device Use,Device Use,Device Use - Agriculture,Agriculture use cases,Last agricultural item sold online,What was the last item/good you sold online?,1. Vegetables; 2. Grains; 3. Milk; 4. Eggs; 5. Livestock; 6. Prepared food; 96. Other (specify),DU_AGR2_sell_agri == 1,FALSE,FALSE,Developed by UCT metrics team; implemented in the Bihar Survey
DU_AGR4_promote_agri,3 Device Use,Device Use,Device Use - Agriculture,Agriculture use cases,Promoting agricultural products online,"Have you ever promoted agriculture products online to sell to others? For example: vegetables, grains, milk, eggs, livestock, or prepared food made from these.",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; implemented in the Bihar Survey
DU_AGR5_promote_agri_followup,3 Device Use,Device Use,Device Use - Agriculture,Agriculture use cases,Last agricultural item promoted online,What was the last item/good that you promoted online to sell to others?,1. Prepared food; 2. Agricultural product; 3. Clothing; 4. Bags; 5. Painting/artwork; 6. Shoes/chappal; 7. Perfume; 8. Soap; 96. Other (specify),DU_AGR4_promote_agri == 1,FALSE,FALSE,Developed by UCT metrics team; implemented in the Bihar Survey
DU_AGR6_weather,3 Device Use,Device Use,Device Use - Agriculture,Agriculture use cases,Using mobile for weather information,"Have you ever used a mobile phone to check the weather forecast (for example, to know if it will rain or be dry)?",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; needs to be cognitively tested
DU_AGR7_market_prices,3 Device Use,Device Use,Device Use - Agriculture,Agriculture use cases,Using phone to check market prices,"Have you ever used a mobile phone to check or compare prices for crops, vegetables, animals, or agricultural products?",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; needs to be cognitively tested
DU_AGR8_find_inputs,3 Device Use,Device Use,Device Use - Agriculture,Agriculture use cases,Using phone to find places to buy seeds fertilizer tools,"Have you ever used a mobile phone to find where to buy seeds, fertilizer, feed, or farming tools?",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; needs to be cognitively tested
DU_AGR9_purchase_inputs,3 Device Use,Device Use,Device Use - Agriculture,Agriculture use cases,Purchasing agricultural inputs online,"Have you ever ordered seeds, fertilizer, pesticide, or tools online using your phone?",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team; needs to be cognitively tested
